Actual Signal Time,Predicted Signal Time (Linear),Predicted Signal Time (Polynomial)
114,75.05291777479496,75.14277216584118
119,87.55337344145195,87.62684799538178
69,66.8082135570855,66.31303308401384
62,70.48481809528369,70.32931738928696
103,95.62238163147984,94.8808551367423
36,71.7081839715182,71.83991488684713
112,87.06532859124866,87.1711009381524
49,77.63630173014617,77.96687419930782
60,78.6839715786991,78.88970047772484
75,84.91793125035414,85.14278119716391
51,66.41777767692285,65.88006242102907
41,71.41535706139622,71.52893189977289
99,78.5993770196056,78.80437495464832
76,83.12192596482282,83.32523927377314
34,66.87328620377927,66.38507422606816
71,74.12888631013497,74.20148775675042
38,72.33938852605621,72.31348234662963
110,74.66248189463232,74.73340414008827
88,76.58863247355119,76.9202094082442
92,81.02007935822238,81.41412723063512
52,72.58666470188413,72.76867608640089
104,76.62767570639268,76.92129698214305
34,66.80170605563293,66.30207295866492
114,89.21923284163779,89.38057160703445
91,68.00555001946775,67.64534754692409
37,70.69955794776472,70.7658129380994
103,79.59498863241191,79.80707632347242
88,77.8510415826272,78.04026518235227
65,84.2476828710167,84.38689259496627
38,74.69501821797921,74.7675655345989
116,87.50131520570535,87.48486727456658
61,80.53854200947163,80.75009381240709
83,71.29171867750328,71.25207369138312
31,76.76432850123278,76.93454351637708
35,78.80760937063408,79.1707010500817
69,86.55776182864565,86.59532560644998
87,75.44986115641015,75.75214865028609
30,66.2355741477887,65.59547552274965
118,74.74707645372581,74.84765020164849
107,87.56638785239912,87.54594785521573
43,77.04414100040759,77.38447815123722
94,89.44698710506599,89.59405060524121
103,68.56517501781737,68.24604594132576
61,92.13448753191041,91.83797853067713
83,89.28430548833155,89.44160869048989
97,77.14825687994286,77.46198375461628
107,67.63463605170483,67.15259975197509
69,67.57607090646361,67.38703376845068
117,81.02658685967492,81.23501793722345
50,76.9595464413141,77.13474310804571
66,67.00343149716682,66.52905310865411
77,74.49980027789789,74.56246791563169
43,68.09014457856124,67.65613233062834
119,72.4239830851497,72.59715719531437
106,76.54958864875175,76.70052146195493
111,89.85694489762835,89.74917345276941
118,76.29580556342921,76.62085909247264
50,70.74510868205877,70.60948557308285
50,68.33091325293661,68.00636978645406
110,67.2116638481953,66.68352153881344
77,87.48179329330563,87.52587280326352
120,70.88826838639348,70.7122088157723
88,90.39704798357826,90.16959319719521
43,68.07062266616151,67.71762092917854
109,90.9306435680756,90.73915639910707
111,87.49480770425279,87.75052991885549
75,89.94153945672184,89.7518005765455
46,71.40884955994366,71.27374988155846
60,85.61420845158594,85.69853721495147
114,86.18034035943018,86.2881519185874
46,77.34347482002418,77.66417258591895
49,76.79035732312711,77.09049856036377
96,71.44138588329055,71.30877295542486
39,77.03763349895505,77.20454100589598
84,68.22028987194878,67.79968857710405
104,78.87918951878041,79.08684972447412
61,80.07001907166806,80.42567623048814
47,66.71060458704484,66.20490674498068
111,71.84483617440036,71.8505037648291
75,86.36254388856432,86.41037773937816
53,76.79035732312711,77.09049856036377
75,75.57349894834515,75.6866660384215
106,80.10255539501495,80.45797229580653
47,75.97044232996035,76.28742903511626
54,74.37616248596291,74.6411661789826
112,87.04580667884895,87.05633812914418
117,70.44577427048424,70.33201090910237
46,75.86632585846712,75.99163695247273
58,68.12268090190813,67.6920343174376
114,81.83999494334708,82.03891641513862
115,88.45788299371223,88.44511583353523
66,70.71257235871188,70.57449470888582
84,94.56169737197973,93.91110202328466
32,67.47846193642295,67.28016732555585
91,78.7360298144457,79.09411849318082
35,77.34347482002418,77.66417258591895
72,95.23194575131718,94.54205617087007
67,88.85482637532742,88.83269500841345
83,88.33424520177724,88.35201062756383
93,83.16096978962227,83.45532845250146
77,89.80488666188174,89.92866453986103
64,86.29747124187054,86.34865951600577
78,79.1720164289024,79.3819919610329
47,74.2915679268694,74.37183209318232
66,79.8032209834404,80.0240303822757
60,67.88191222753275,67.49730443800547
116,84.30624801625791,84.67273491536974
53,71.01841367978102,70.85280088526423
80,71.74072029486508,71.8744254681098
87,95.07577104407736,94.73586808523132
61,76.66671953119213,76.83432739382972
31,69.94471500933378,69.68879317623859
111,84.31275551771047,84.4496965343269
63,75.25464321632884,75.55084979759998
30,69.23542339715482,69.19189797293383
85,84.37132066295169,84.73637427047954
84,85.02855463134196,85.13826503379481
81,94.49011722383341,94.21290172241852
45,78.11783967085486,78.47214357917402
72,73.49768175559697,73.72520091786178
95,80.94849980203398,81.29464549954616
99,88.14553417119052,88.36848353174041
60,87.88524358441543,88.1217156926772
89,92.50540149967333,92.4198646621427
74,66.60648811555163,66.08313308068641
119,89.8634523990809,89.75774366220296
108,85.51659948154527,85.60535239594708
104,79.13297260410295,79.50311553500065
82,81.46908097558418,81.80662607459675
113,66.76916973228606,66.26560452098573
60,93.83288384740106,93.31783718477945
67,79.18503083984956,79.39919431005727
110,93.29278076145116,92.78606549805463
107,90.01962651436278,89.89977404443022
41,68.90355266223341,68.55109696279268
39,68.65627648640547,68.36653034662827
61,92.66157620691315,92.28065658110197
120,83.20001302246376,83.58559240084585
89,76.47150159111081,76.63366249530898
114,79.12646569460834,79.48534203105709
69,85.06109095468886,85.16946450882654
111,79.72513392579947,79.93757854093437
92,79.96590260017483,80.18794391998287
40,70.58242706532434,70.4344450841621
117,82.32803979355039,82.51867046382046
118,76.58863247355119,76.9202094082442
52,74.62994557128543,74.69923412878407
109,74.27855351592224,74.53970246564836
65,81.61224067991888,81.81436769931649
106,78.0267376103088,78.36939063450473
37,66.87328620377927,66.38507422606816
82,79.92035186588078,80.1330733633206
56,67.58908531741078,67.17525195516652
92,81.56018244417227,81.78289657163667
66,66.7561553213389,66.17673181219546
110,77.80549084833315,77.99869008582323
110,69.34604677814265,69.09709744802787
97,79.30216172228994,79.51294225175985
60,67.02946031906114,66.55711075219966
87,93.95652163933606,93.47862254533233
115,67.05548973291343,66.816183259815
43,69.24843780810198,68.99098743868717
30,72.111634262628,72.0713209047759
64,84.76826404456688,84.88835902897297
111,69.94471500933378,69.68879317623859
78,92.49238708872616,92.16238054710419
76,78.57985510720587,78.93749821142175
75,90.26039518873816,90.3530288814137
58,67.74525943269265,67.35590934616397
85,90.18230813109722,90.05015921625207
55,76.19819659338854,76.52092055159808
65,89.8959887224278,89.78744607266053
69,74.76009086467297,74.83586247323953
106,93.70273855401352,93.20314637026962
85,79.77068466009351,79.99122182435357
111,84.18261022432293,84.32405418843138
45,74.28506042541684,74.4609085040232
84,82.84862096710057,83.02827115094547
110,89.75933592758768,89.65870969625024
113,82.50373582123198,82.71710254746922
43,71.51296603143689,71.63267044660631
101,81.37147200554351,81.71079774424913
61,91.93926959182909,91.66059251979095
65,79.16550892744984,79.53630959112797
57,70.61496338867123,70.46947041553337
76,87.87222917346827,87.89450062907642
100,70.46529618288396,70.25433243423545
92,80.82486141814104,81.21778058536445
61,66.87328620377927,66.38507422606816
107,91.03476003956882,90.82160185873455
112,74.54535101219194,74.7364909007428
115,70.7320942711116,70.80059063996237
84,92.63554679306087,92.53842317728208
94,70.56290515292461,70.36012546649347
74,93.96953605028322,93.74569896540395
105,78.19592672849579,78.39547021586634
46,70.64749971201812,70.50448713011107
47,72.43048999464432,72.4814213173307
103,82.10028553012219,82.29502651132186
79,78.76205863634003,78.96988259916364
60,75.13751233388845,75.25415007482451
109,81.70334214850699,82.09889762810886
63,76.5560961502043,76.8869827292216
68,77.21332952663664,77.52941449889141
77,79.11995819315578,79.33324113926432
64,69.45667015913047,69.15659671736441
58,65.923225325267,65.31440064678804
109,84.95697448319564,85.30757744362742
62,84.83333669126066,84.95088723093978
32,71.74072029486508,71.8744254681098
120,77.3109384966773,77.6304959893524
109,81.70334214850699,82.09889762810886
70,91.40567400733174,91.0886952151275
70,89.40143637077193,89.32634576257604
90,89.57713239845353,89.71584903475821
92,77.4475912915174,77.63388494223202
80,72.35891043845594,72.52848932132487
35,72.33288102460365,72.37646226976881
117,92.11496561951068,92.06336190454303
113,83.0438389071819,83.21880270024258
89,77.2198370280892,77.40119335649801
69,74.92277248140742,75.0064540259538
106,79.52991598571813,79.74177351398008
78,67.87540472608019,67.50069738089249
93,66.88630061472644,66.3217012128146
49,66.70409708559228,66.19264179524667
77,71.0834863264748,70.92304521924883
116,80.45394745037814,80.6783920140708
88,71.94895264589357,71.89808994250222
75,84.14356639952348,84.51348573370797
54,67.43941811162351,66.93628306779596
31,72.71030249381913,72.66795173723943
89,69.48920648247736,69.19213679884426
116,93.76130369925474,93.30413177708147
83,93.74178178685501,93.54060410732868
39,67.13357679055436,66.67289412254314
34,75.95092041756062,76.09703954358751
90,77.47362011341173,77.79879280424959
86,88.85482637532742,88.83269500841345
78,90.83303459803494,90.6495457051501
86,94.65930634202039,93.99710043646206
80,91.8156317998941,91.52463656506086
106,92.72664885360692,92.33857069673167
